Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
04/21/2026,AplPay APNI MANDI FASUNNYVALE           CA,89.59,"50479781   12681158         94087
NONE
AplPay APNI MANDI FARMERS MARKE
SUNNYVALE
CA
NONE
12681158         94087",AplPay APNI MANDI FASUNNYVALE           CA,"1111 WEST ELCAMINO REAL
10","SUNNYVALE
CA",94087,UNITED STATES,'320261120152318964',Merchandise & Supplies-Groceries
04/21/2026,AplPay MADRAS GROCERSUNNYVALE           CA,59.54,"00036993    408-746-0808
AplPay MADRAS GROCERIES
SUNNYVALE
CA
Description : GROCERIES/SUNDRIES Price : 0.00
408-746-0808",AplPay MADRAS GROCERSUNNYVALE           CA,1187 WEST EL CAMINO REAL,"SUNNYVALE
CA",94087,UNITED STATES,'320261120162809837',Merchandise & Supplies-Groceries
04/20/2026,MOBILE PAYMENT - THANK YOU,-524.15,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320261100087037350',
04/18/2026,AplPay APNI MANDI FASUNNYVALE           CA,12.56,"21374802   12664260         94087
NONE
AplPay APNI MANDI FARMERS MARKE
SUNNYVALE
CA
NONE
12664260         94087",AplPay APNI MANDI FASUNNYVALE           CA,"1111 WEST ELCAMINO REAL
10","SUNNYVALE
CA",94087,UNITED STATES,'320261090061833406',Merchandise & Supplies-Groceries
04/18/2026,AplPay APNI MANDI FASUNNYVALE           CA,149.24,"21371895   12664254         94087
NONE
AplPay APNI MANDI FARMERS MARKE
SUNNYVALE
CA
NONE
12664254         94087",AplPay APNI MANDI FASUNNYVALE           CA,"1111 WEST ELCAMINO REAL
10","SUNNYVALE
CA",94087,UNITED STATES,'320261090062312691',Merchandise & Supplies-Groceries
04/18/2026,IC* INSTACART       SAN FRANCISCO       CA,362.35,"ANH8Y2TZ    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261080033477838',Merchandise & Supplies-Groceries
04/17/2026,MOBILE PAYMENT - THANK YOU,-651.93,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320261070996886765',
04/15/2026,AplPay APNI MANDI FASUNNYVALE           CA,37.10,"87312474   12645341         94087
NONE
AplPay APNI MANDI FARMERS MARKE
SUNNYVALE
CA
NONE
12645341         94087",AplPay APNI MANDI FASUNNYVALE           CA,"1111 WEST ELCAMINO REAL
10","SUNNYVALE
CA",94087,UNITED STATES,'320261060974506553',Merchandise & Supplies-Groceries
04/15/2026,AplPay APNI MANDI FASUNNYVALE           CA,153.75,"87304913   12645334         94087
NONE
AplPay APNI MANDI FARMERS MARKE
SUNNYVALE
CA
NONE
12645334         94087",AplPay APNI MANDI FASUNNYVALE           CA,"1111 WEST ELCAMINO REAL
10","SUNNYVALE
CA",94087,UNITED STATES,'320261060974506171',Merchandise & Supplies-Groceries
04/11/2026,AplPay SMARTANDFINALSMARTANDFINAL       CA,119.80,"4937881     510-851-8548
AplPay SMARTANDFINAL 409 001
SMARTANDFINAL
CA
Description : GROCERIES/SUNDRIES Price : 0.00
510-851-8548",AplPay SMARTANDFINALSMARTANDFINAL       CA,600 CITADEL DR,"COMMERCE
CA",90040,UNITED STATES,'320261010825766292',Merchandise & Supplies-Groceries
04/11/2026,IC* INSTACART       SAN FRANCISCO       CA,26.23,"CG4D5V3D    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261010826101578',Merchandise & Supplies-Groceries
04/11/2026,IC* INSTACART       SAN FRANCISCO       CA,241.48,"ABKD3WS5    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261010826100283',Merchandise & Supplies-Groceries
04/10/2026,IC* COSTCO BY INSTACSAN FRANCISCO       CA,64.30,"3NH8TKBK    8882467822
IC* COSTCO BY INSTACAR
SAN FRANCISCO
CA
8882467822",IC* COSTCO BY INSTACSAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261000800938986',Merchandise & Supplies-Groceries
04/07/2026,AplPay APNI MANDI FASUNNYVALE           CA,9.27,"02122848   12596476         94087
NONE
AplPay APNI MANDI FARMERS MARKE
SUNNYVALE
CA
NONE
12596476         94087",AplPay APNI MANDI FASUNNYVALE           CA,"1111 WEST ELCAMINO REAL
10","SUNNYVALE
CA",94087,UNITED STATES,'320260980740087988',Merchandise & Supplies-Groceries
